group,species_id,species_identifier,form_identifier
,676,furfrou,pharaoh
,678,meowstic,male
,678,meowstic,female
,710,pumpkaboo,average
,710,pumpkaboo,small
,710,pumpkaboo,large
,710,pumpkaboo,super
,711,gourgeist,average
,711,gourgeist,small
,711,gourgeist,large
,711,gourgeist,super
,716,xerneas,active
,716,xerneas,neutral
,718,zygarde,10
,718,zygarde,50
,718,zygarde,complete
,720,hoopa,confined
,722,rowlet,NULL
,723,dartrix,NULL
,724,decidueye,NULL
,725,litten,NULL
,726,torracat,NULL
,727,incineroar,NULL
,728,popplio,NULL
,729,brionne,NULL
,730,primarina,NULL
,731,pikipek,NULL
,732,trumbeak,NULL
,733,toucannon,NULL
,734,yungoos,NULL
,735,gumshoos,NULL
,735,gumshoos,totem
,736,grubbin,NULL
,737,charjabug,NULL
,738,vikavolt,NULL
,738,vikavolt,totem
,739,crabrawler,NULL
,740,crabominable,NULL
,741,oricorio,baile
,741,oricorio,pom-pom
,741,oricorio,pau
,741,oricorio,sensu
,742,cutiefly,NULL
,743,ribombee,NULL
,743,ribombee,totem
,744,rockruff,NULL
,744,rockruff,own-tempo
,745,lycanroc,midday
,745,lycanroc,midnight
,745,lycanroc,dusk
,746,wishiwashi,solo
,746,wishiwashi,school
,747,mareanie,NULL
,748,toxapex,NULL
,749,mudbray,NULL
,750,mudsdale,NULL
,751,dewpider,NULL
,752,araquanid,NULL
,752,araquanid,totem
,753,fomantis,NULL
,754,lurantis,NULL
,754,lurantis,totem
,755,morelull,NULL
,756,shiinotic,NULL
,757,salandit,NULL
,758,salazzle,NULL
,758,salazzle,totem
,759,stufful,NULL
,760,bewear,NULL
,761,bounsweet,NULL
,762,steenee,NULL
,763,tsareena,NULL
,764,comfey,NULL
,765,oranguru,NULL
,766,passimian,NULL
,767,wimpod,NULL
,768,golisopod,NULL
,769,sandygast,NULL
,770,palossand,NULL
,771,pyukumuku,NULL
,772,type-null,NULL
,773,silvally,normal
,773,silvally,fighting
,773,silvally,flying
,773,silvally,poison
,773,silvally,ground
,773,silvally,rock
,773,silvally,bug
,773,silvally,ghost
,773,silvally,steel
,773,silvally,fire
,773,silvally,water
,773,silvally,grass
,773,silvally,electric
,773,silvally,psychic
,773,silvally,ice
,773,silvally,dragon
,773,silvally,dark
,773,silvally,fairy
,774,minior,red-meteor
,774,minior,orange-meteor
,774,minior,yellow-meteor
,774,minior,green-meteor
,774,minior,blue-meteor
,774,minior,indigo-meteor
,774,minior,violet-meteor
,774,minior,red
,774,minior,orange
,774,minior,yellow
,774,minior,green
,774,minior,blue
,774,minior,indigo
,774,minior,violet
,775,komala,NULL
,776,turtonator,NULL
,777,togedemaru,NULL
,777,togedemaru,totem
,778,mimikyu,disguised
,778,mimikyu,busted
,778,mimikyu,totem-disguised
,778,mimikyu,totem-busted
,779,bruxish,NULL
,780,drampa,NULL
,781,dhelmise,NULL
,782,jangmo-o,NULL
,783,hakamo-o,NULL
,784,kommo-o,NULL
,784,kommo-o,totem
,785,tapu-koko,NULL
,786,tapu-lele,NULL
,787,tapu-bulu,NULL
,788,tapu-fini,NULL
,789,cosmog,NULL
,790,cosmoem,NULL
,791,solgaleo,NULL
,792,lunala,NULL
,793,nihilego,NULL
,794,buzzwole,NULL
,795,pheromosa,NULL
,796,xurkitree,NULL
,797,celesteela,NULL
,798,kartana,NULL
,799,guzzlord,NULL
,800,necrozma,NULL
,800,necrozma,dusk
,800,necrozma,dawn
,800,necrozma,ultra
,801,magearna,NULL
,801,magearna,original
,802,marshadow,NULL
,803,poipole,NULL
,804,naganadel,NULL
,805,stakataka,NULL
,806,blacephalon,NULL
,807,zeraora,NULL
female,387,turtwig,NULL
female,388,grotle,NULL
female,389,torterra,NULL
female,390,chimchar,NULL
female,391,monferno,NULL
female,392,infernape,NULL
female,393,piplup,NULL
female,394,prinplup,NULL
female,395,empoleon,NULL
female,396,starly,NULL
female,397,staravia,NULL
female,398,staraptor,NULL
female,399,bidoof,NULL
female,400,bibarel,NULL
female,401,kricketot,NULL
female,402,kricketune,NULL
female,403,shinx,NULL
female,404,luxio,NULL
female,405,luxray,NULL
female,406,budew,NULL
female,407,roserade,NULL
female,408,cranidos,NULL
female,409,rampardos,NULL
female,410,shieldon,NULL
female,411,bastiodon,NULL
female,412,burmy,plant
female,412,burmy,sandy
female,412,burmy,trash
female,413,wormadam,plant
female,413,wormadam,sandy
female,413,wormadam,trash
female,414,mothim,plant
female,414,mothim,sandy
female,414,mothim,trash
female,415,combee,NULL
female,416,vespiquen,NULL
female,417,pachirisu,NULL
female,418,buizel,NULL
female,419,floatzel,NULL
female,420,cherubi,NULL
female,421,cherrim,overcast
female,421,cherrim,sunshine
female,422,shellos,west
female,422,shellos,east
female,423,gastrodon,west
female,423,gastrodon,east
female,424,ambipom,NULL
female,425,drifloon,NULL
female,426,drifblim,NULL
female,427,buneary,NULL
female,428,lopunny,NULL
female,428,lopunny,mega
female,429,mismagius,NULL
female,430,honchkrow,NULL
female,431,glameow,NULL
female,432,purugly,NULL
female,433,chingling,NULL
female,434,stunky,NULL
female,435,skuntank,NULL
female,436,bronzor,NULL
female,437,bronzong,NULL
female,438,bonsly,NULL
female,439,mime-jr,NULL
female,440,happiny,NULL
female,441,chatot,NULL
female,442,spiritomb,NULL
female,443,gible,NULL
female,444,gabite,NULL
female,445,garchomp,NULL
female,445,garchomp,mega
female,446,munchlax,NULL
female,447,riolu,NULL
female,448,lucario,NULL
female,448,lucario,mega
female,449,hippopotas,NULL
female,450,hippowdon,NULL
female,451,skorupi,NULL
female,452,drapion,NULL
female,453,croagunk,NULL
female,454,toxicroak,NULL
female,455,carnivine,NULL
female,456,finneon,NULL
female,457,lumineon,NULL
female,458,mantyke,NULL
female,459,snover,NULL
female,460,abomasnow,NULL
female,460,abomasnow,mega
female,461,weavile,NULL
female,462,magnezone,NULL
female,463,lickilicky,NULL
female,464,rhyperior,NULL
female,465,tangrowth,NULL
female,466,electivire,NULL
female,467,magmortar,NULL
female,468,togekiss,NULL
female,469,yanmega,NULL
female,470,leafeon,NULL
female,471,glaceon,NULL
female,472,gliscor,NULL
female,473,mamoswine,NULL
female,474,porygon-z,NULL
female,475,gallade,NULL
female,475,gallade,mega
female,476,probopass,NULL
female,477,dusknoir,NULL
female,478,froslass,NULL
female,479,rotom,NULL
female,479,rotom,heat
female,479,rotom,wash
female,479,rotom,frost
female,479,rotom,fan
female,479,rotom,mow
female,480,uxie,NULL
female,481,mesprit,NULL
female,482,azelf,NULL
female,483,dialga,NULL
female,484,palkia,NULL
female,485,heatran,NULL
female,486,regigigas,NULL
female,487,giratina,altered
female,487,giratina,origin
female,488,cresselia,NULL
female,489,phione,NULL
female,490,manaphy,NULL
female,491,darkrai,NULL
female,492,shaymin,land
female,492,shaymin,sky
female,493,arceus,normal
female,493,arceus,bug
female,493,arceus,dark
female,493,arceus,dragon
female,493,arceus,electric
female,493,arceus,fighting
female,493,arceus,fire
female,493,arceus,flying
female,493,arceus,ghost
female,493,arceus,grass
female,493,arceus,ground
female,493,arceus,ice
female,493,arceus,poison
female,493,arceus,psychic
female,493,arceus,rock
female,493,arceus,steel
female,493,arceus,water
female,493,arceus,unknown
female,493,arceus,fairy
female,494,victini,NULL
female,495,snivy,NULL
female,496,servine,NULL
female,497,serperior,NULL
female,498,tepig,NULL
female,499,pignite,NULL
female,500,emboar,NULL
female,501,oshawott,NULL
female,502,dewott,NULL
female,503,samurott,NULL
female,504,patrat,NULL
female,505,watchog,NULL
female,506,lillipup,NULL
female,507,herdier,NULL
female,508,stoutland,NULL
female,509,purrloin,NULL
female,510,liepard,NULL
female,511,pansage,NULL
female,512,simisage,NULL
female,513,pansear,NULL
female,514,simisear,NULL
female,515,panpour,NULL
female,516,simipour,NULL
female,517,munna,NULL
female,518,musharna,NULL
female,519,pidove,NULL
female,520,tranquill,NULL
female,522,blitzle,NULL
female,523,zebstrika,NULL
female,524,roggenrola,NULL
female,525,boldore,NULL
female,526,gigalith,NULL
female,527,woobat,NULL
female,528,swoobat,NULL
female,529,drilbur,NULL
female,530,excadrill,NULL
female,531,audino,NULL
female,531,audino,mega
female,532,timburr,NULL
female,533,gurdurr,NULL
female,534,conkeldurr,NULL
female,535,tympole,NULL
female,536,palpitoad,NULL
female,537,seismitoad,NULL
female,538,throh,NULL
female,539,sawk,NULL
female,540,sewaddle,NULL
female,541,swadloon,NULL
female,542,leavanny,NULL
female,543,venipede,NULL
female,544,whirlipede,NULL
female,545,scolipede,NULL
female,546,cottonee,NULL
female,547,whimsicott,NULL
female,548,petilil,NULL
female,549,lilligant,NULL
female,550,basculin,red-striped
female,550,basculin,blue-striped
female,551,sandile,NULL
female,552,krokorok,NULL
female,553,krookodile,NULL
female,554,darumaka,NULL
female,555,darmanitan,standard
female,555,darmanitan,zen
female,556,maractus,NULL
female,557,dwebble,NULL
female,558,crustle,NULL
female,559,scraggy,NULL
female,560,scrafty,NULL
female,561,sigilyph,NULL
female,562,yamask,NULL
female,563,cofagrigus,NULL
female,564,tirtouga,NULL
female,565,carracosta,NULL
female,566,archen,NULL
female,567,archeops,NULL
female,568,trubbish,NULL
female,569,garbodor,NULL
female,570,zorua,NULL
female,571,zoroark,NULL
female,572,minccino,NULL
female,573,cinccino,NULL
female,574,gothita,NULL
female,575,gothorita,NULL
female,576,gothitelle,NULL
female,577,solosis,NULL
female,578,duosion,NULL
female,579,reuniclus,NULL
female,580,ducklett,NULL
female,581,swanna,NULL
female,582,vanillite,NULL
female,583,vanillish,NULL
female,584,vanilluxe,NULL
female,585,deerling,spring
female,585,deerling,summer
female,585,deerling,autumn
female,585,deerling,winter
female,586,sawsbuck,spring
female,586,sawsbuck,summer
female,586,sawsbuck,autumn
female,586,sawsbuck,winter
female,587,emolga,NULL
female,588,karrablast,NULL
female,589,escavalier,NULL
female,590,foongus,NULL
female,591,amoonguss,NULL
female,594,alomomola,NULL
female,595,joltik,NULL
female,596,galvantula,NULL
female,597,ferroseed,NULL
female,598,ferrothorn,NULL
female,599,klink,NULL
female,600,klang,NULL
female,601,klinklang,NULL
female,602,tynamo,NULL
female,603,eelektrik,NULL
female,604,eelektross,NULL
female,605,elgyem,NULL
female,606,beheeyem,NULL
female,607,litwick,NULL
female,608,lampent,NULL
female,609,chandelure,NULL
female,610,axew,NULL
female,611,fraxure,NULL
female,612,haxorus,NULL
female,613,cubchoo,NULL
female,614,beartic,NULL
female,615,cryogonal,NULL
female,616,shelmet,NULL
female,617,accelgor,NULL
female,618,stunfisk,NULL
female,619,mienfoo,NULL
female,620,mienshao,NULL
female,621,druddigon,NULL
female,622,golett,NULL
female,623,golurk,NULL
female,624,pawniard,NULL
female,625,bisharp,NULL
female,626,bouffalant,NULL
female,627,rufflet,NULL
female,628,braviary,NULL
female,629,vullaby,NULL
female,630,mandibuzz,NULL
female,631,heatmor,NULL
female,632,durant,NULL
female,633,deino,NULL
female,634,zweilous,NULL
female,635,hydreigon,NULL
female,636,larvesta,NULL
female,637,volcarona,NULL
female,638,cobalion,NULL
female,639,terrakion,NULL
female,640,virizion,NULL
female,641,tornadus,incarnate
female,641,tornadus,therian
female,642,thundurus,incarnate
female,642,thundurus,therian
female,643,reshiram,NULL
female,644,zekrom,NULL
female,645,landorus,incarnate
female,645,landorus,therian
female,646,kyurem,NULL
female,646,kyurem,black
female,646,kyurem,white
female,647,keldeo,ordinary
female,647,keldeo,resolute
female,648,meloetta,aria
female,648,meloetta,pirouette
female,649,genesect,NULL
female,649,genesect,douse
female,649,genesect,shock
female,649,genesect,burn
female,649,genesect,chill
female,650,chespin,NULL
female,651,quilladin,NULL
female,652,chesnaught,NULL
female,653,fennekin,NULL
female,654,braixen,NULL
female,655,delphox,NULL
female,656,froakie,NULL
female,657,frogadier,NULL
female,658,greninja,NULL
female,658,greninja,battle-bond
female,658,greninja,ash
female,659,bunnelby,NULL
female,660,diggersby,NULL
female,661,fletchling,NULL
female,662,fletchinder,NULL
female,663,talonflame,NULL
female,664,scatterbug,icy-snow
female,664,scatterbug,polar
female,664,scatterbug,tundra
female,664,scatterbug,continental
female,664,scatterbug,garden
female,664,scatterbug,elegant
female,664,scatterbug,meadow
female,664,scatterbug,modern
female,664,scatterbug,marine
female,664,scatterbug,archipelago
female,664,scatterbug,high-plains
female,664,scatterbug,sandstorm
female,664,scatterbug,river
female,664,scatterbug,monsoon
female,664,scatterbug,savanna
female,664,scatterbug,sun
female,664,scatterbug,ocean
female,664,scatterbug,jungle
female,664,scatterbug,fancy
female,664,scatterbug,poke-ball
female,665,spewpa,icy-snow
female,665,spewpa,polar
female,665,spewpa,tundra
female,665,spewpa,continental
female,665,spewpa,garden
female,665,spewpa,elegant
female,665,spewpa,meadow
female,665,spewpa,modern
female,665,spewpa,marine
female,665,spewpa,archipelago
female,665,spewpa,high-plains
female,665,spewpa,sandstorm
female,665,spewpa,river
female,665,spewpa,monsoon
female,665,spewpa,savanna
female,665,spewpa,sun
female,665,spewpa,ocean
female,665,spewpa,jungle
female,665,spewpa,fancy
female,665,spewpa,poke-ball
female,666,vivillon,meadow
female,666,vivillon,icy-snow
female,666,vivillon,polar
female,666,vivillon,tundra
female,666,vivillon,continental
female,666,vivillon,garden
female,666,vivillon,elegant
female,666,vivillon,modern
female,666,vivillon,marine
female,666,vivillon,archipelago
female,666,vivillon,high-plains
female,666,vivillon,sandstorm
female,666,vivillon,river
female,666,vivillon,monsoon
female,666,vivillon,savanna
female,666,vivillon,sun
female,666,vivillon,ocean
female,666,vivillon,jungle
female,666,vivillon,fancy
female,666,vivillon,poke-ball
female,667,litleo,NULL
female,669,flabebe,red
female,669,flabebe,yellow
female,669,flabebe,orange
female,669,flabebe,blue
female,669,flabebe,white
female,670,floette,red
female,670,floette,yellow
female,670,floette,orange
female,670,floette,blue
female,670,floette,white
female,670,floette,eternal
female,671,florges,red
female,671,florges,yellow
female,671,florges,orange
female,671,florges,blue
female,671,florges,white
female,672,skiddo,NULL
female,673,gogoat,NULL
female,674,pancham,NULL
female,675,pangoro,NULL
female,676,furfrou,natural
female,676,furfrou,heart
female,676,furfrou,star
female,676,furfrou,diamond
female,676,furfrou,debutante
female,676,furfrou,matron
female,676,furfrou,dandy
female,676,furfrou,la-reine
female,676,furfrou,kabuki
female,676,furfrou,pharaoh
female,677,espurr,NULL
female,678,meowstic,male
female,678,meowstic,female
female,679,honedge,NULL
female,680,doublade,NULL
female,681,aegislash,shield
female,681,aegislash,blade
female,682,spritzee,NULL
female,683,aromatisse,NULL
female,684,swirlix,NULL
female,685,slurpuff,NULL
female,686,inkay,NULL
female,687,malamar,NULL
female,688,binacle,NULL
female,689,barbaracle,NULL
female,690,skrelp,NULL
female,691,dragalge,NULL
female,692,clauncher,NULL
female,693,clawitzer,NULL
female,694,helioptile,NULL
female,695,heliolisk,NULL
female,696,tyrunt,NULL
female,697,tyrantrum,NULL
female,698,amaura,NULL
female,699,aurorus,NULL
female,700,sylveon,NULL
female,701,hawlucha,NULL
female,702,dedenne,NULL
female,703,carbink,NULL
female,704,goomy,NULL
female,705,sliggoo,NULL
female,706,goodra,NULL
female,707,klefki,NULL
female,708,phantump,NULL
female,709,trevenant,NULL
female,710,pumpkaboo,average
female,710,pumpkaboo,small
female,710,pumpkaboo,large
female,710,pumpkaboo,super
female,711,gourgeist,average
female,711,gourgeist,small
female,711,gourgeist,large
female,711,gourgeist,super
female,712,bergmite,NULL
female,713,avalugg,NULL
female,714,noibat,NULL
female,715,noivern,NULL
female,716,xerneas,active
female,716,xerneas,neutral
female,717,yveltal,NULL
female,718,zygarde,NULL
female,718,zygarde,10
female,718,zygarde,50
female,718,zygarde,complete
female,719,diancie,NULL
female,719,diancie,mega
female,720,hoopa,confined
female,720,hoopa,unbound
female,721,volcanion,NULL
female,722,rowlet,NULL
female,723,dartrix,NULL
female,724,decidueye,NULL
female,725,litten,NULL
female,726,torracat,NULL
female,727,incineroar,NULL
female,728,popplio,NULL
female,729,brionne,NULL
female,730,primarina,NULL
female,731,pikipek,NULL
female,732,trumbeak,NULL
female,733,toucannon,NULL
female,734,yungoos,NULL
female,735,gumshoos,NULL
female,735,gumshoos,totem
female,736,grubbin,NULL
female,737,charjabug,NULL
female,738,vikavolt,NULL
female,738,vikavolt,totem
female,739,crabrawler,NULL
female,740,crabominable,NULL
female,741,oricorio,baile
female,741,oricorio,pom-pom
female,741,oricorio,pau
female,741,oricorio,sensu
female,742,cutiefly,NULL
female,743,ribombee,NULL
female,743,ribombee,totem
female,744,rockruff,NULL
female,744,rockruff,own-tempo
female,745,lycanroc,midday
female,745,lycanroc,midnight
female,745,lycanroc,dusk
female,746,wishiwashi,solo
female,746,wishiwashi,school
female,747,mareanie,NULL
female,748,toxapex,NULL
female,749,mudbray,NULL
female,750,mudsdale,NULL
female,751,dewpider,NULL
female,752,araquanid,NULL
female,752,araquanid,totem
female,753,fomantis,NULL
female,754,lurantis,NULL
female,754,lurantis,totem
female,755,morelull,NULL
female,756,shiinotic,NULL
female,757,salandit,NULL
female,758,salazzle,NULL
female,758,salazzle,totem
female,759,stufful,NULL
female,760,bewear,NULL
female,761,bounsweet,NULL
female,762,steenee,NULL
female,763,tsareena,NULL
female,764,comfey,NULL
female,765,oranguru,NULL
female,766,passimian,NULL
female,767,wimpod,NULL
female,768,golisopod,NULL
female,769,sandygast,NULL
female,770,palossand,NULL
female,771,pyukumuku,NULL
female,772,type-null,NULL
female,773,silvally,normal
female,773,silvally,fighting
female,773,silvally,flying
female,773,silvally,poison
female,773,silvally,ground
female,773,silvally,rock
female,773,silvally,bug
female,773,silvally,ghost
female,773,silvally,steel
female,773,silvally,fire
female,773,silvally,water
female,773,silvally,grass
female,773,silvally,electric
female,773,silvally,psychic
female,773,silvally,ice
female,773,silvally,dragon
female,773,silvally,dark
female,773,silvally,fairy
female,774,minior,red-meteor
female,774,minior,orange-meteor
female,774,minior,yellow-meteor
female,774,minior,green-meteor
female,774,minior,blue-meteor
female,774,minior,indigo-meteor
female,774,minior,violet-meteor
female,774,minior,red
female,774,minior,orange
female,774,minior,yellow
female,774,minior,green
female,774,minior,blue
female,774,minior,indigo
female,774,minior,violet
female,775,komala,NULL
female,776,turtonator,NULL
female,777,togedemaru,NULL
female,777,togedemaru,totem
female,778,mimikyu,disguised
female,778,mimikyu,busted
female,778,mimikyu,totem-disguised
female,778,mimikyu,totem-busted
female,779,bruxish,NULL
female,780,drampa,NULL
female,781,dhelmise,NULL
female,782,jangmo-o,NULL
female,783,hakamo-o,NULL
female,784,kommo-o,NULL
female,784,kommo-o,totem
female,785,tapu-koko,NULL
female,786,tapu-lele,NULL
female,787,tapu-bulu,NULL
female,788,tapu-fini,NULL
female,789,cosmog,NULL
female,790,cosmoem,NULL
female,791,solgaleo,NULL
female,792,lunala,NULL
female,793,nihilego,NULL
female,794,buzzwole,NULL
female,795,pheromosa,NULL
female,796,xurkitree,NULL
female,797,celesteela,NULL
female,798,kartana,NULL
female,799,guzzlord,NULL
female,800,necrozma,NULL
female,800,necrozma,dusk
female,800,necrozma,dawn
female,800,necrozma,ultra
female,801,magearna,NULL
female,801,magearna,original
female,802,marshadow,NULL
female,803,poipole,NULL
female,804,naganadel,NULL
female,805,stakataka,NULL
female,806,blacephalon,NULL
female,807,zeraora,NULL
