version_group,group,species_id,species_identifier,form_identifier
emerald,back,283,surskit,NULL
emerald,back,284,masquerain,NULL
emerald,back,285,shroomish,NULL
emerald,back,286,breloom,NULL
emerald,back,287,slakoth,NULL
emerald,back,288,vigoroth,NULL
emerald,back,289,slaking,NULL
emerald,back,290,nincada,NULL
emerald,back,291,ninjask,NULL
emerald,back,292,shedinja,NULL
emerald,back,293,whismur,NULL
emerald,back,294,loudred,NULL
emerald,back,295,exploud,NULL
emerald,back,296,makuhita,NULL
emerald,back,297,hariyama,NULL
emerald,back,298,azurill,NULL
emerald,back,299,nosepass,NULL
emerald,back,300,skitty,NULL
emerald,back,301,delcatty,NULL
emerald,back,302,sableye,NULL
emerald,back,303,mawile,NULL
emerald,back,304,aron,NULL
emerald,back,305,lairon,NULL
emerald,back,306,aggron,NULL
emerald,back,307,meditite,NULL
emerald,back,308,medicham,NULL
emerald,back,309,electrike,NULL
emerald,back,310,manectric,NULL
emerald,back,311,plusle,NULL
emerald,back,312,minun,NULL
emerald,back,313,volbeat,NULL
emerald,back,314,illumise,NULL
emerald,back,315,roselia,NULL
emerald,back,316,gulpin,NULL
emerald,back,317,swalot,NULL
emerald,back,318,carvanha,NULL
emerald,back,319,sharpedo,NULL
emerald,back,320,wailmer,NULL
emerald,back,321,wailord,NULL
emerald,back,322,numel,NULL
emerald,back,323,camerupt,NULL
emerald,back,324,torkoal,NULL
emerald,back,325,spoink,NULL
emerald,back,326,grumpig,NULL
emerald,back,327,spinda,NULL
emerald,back,328,trapinch,NULL
emerald,back,329,vibrava,NULL
emerald,back,330,flygon,NULL
emerald,back,331,cacnea,NULL
emerald,back,332,cacturne,NULL
emerald,back,333,swablu,NULL
emerald,back,334,altaria,NULL
emerald,back,335,zangoose,NULL
emerald,back,336,seviper,NULL
emerald,back,337,lunatone,NULL
emerald,back,338,solrock,NULL
emerald,back,339,barboach,NULL
emerald,back,340,whiscash,NULL
emerald,back,341,corphish,NULL
emerald,back,342,crawdaunt,NULL
emerald,back,343,baltoy,NULL
emerald,back,344,claydol,NULL
emerald,back,345,lileep,NULL
emerald,back,346,cradily,NULL
emerald,back,347,anorith,NULL
emerald,back,348,armaldo,NULL
emerald,back,349,feebas,NULL
emerald,back,350,milotic,NULL
emerald,back,351,castform,NULL
emerald,back,351,castform,sunny
emerald,back,351,castform,rainy
emerald,back,351,castform,snowy
emerald,back,352,kecleon,NULL
emerald,back,353,shuppet,NULL
emerald,back,354,banette,NULL
emerald,back,355,duskull,NULL
emerald,back,356,dusclops,NULL
emerald,back,357,tropius,NULL
emerald,back,358,chimecho,NULL
emerald,back,359,absol,NULL
emerald,back,360,wynaut,NULL
emerald,back,361,snorunt,NULL
emerald,back,362,glalie,NULL
emerald,back,363,spheal,NULL
emerald,back,364,sealeo,NULL
emerald,back,365,walrein,NULL
emerald,back,366,clamperl,NULL
emerald,back,367,huntail,NULL
emerald,back,368,gorebyss,NULL
emerald,back,369,relicanth,NULL
emerald,back,370,luvdisc,NULL
emerald,back,371,bagon,NULL
emerald,back,372,shelgon,NULL
emerald,back,373,salamence,NULL
emerald,back,374,beldum,NULL
emerald,back,375,metang,NULL
emerald,back,376,metagross,NULL
emerald,back,377,regirock,NULL
emerald,back,378,regice,NULL
emerald,back,379,registeel,NULL
emerald,back,380,latias,NULL
emerald,back,381,latios,NULL
emerald,back,382,kyogre,NULL
emerald,back,383,groudon,NULL
emerald,back,384,rayquaza,NULL
emerald,back,385,jirachi,NULL
emerald,back,386,deoxys,normal
emerald,back,386,deoxys,speed
colosseum,,1,bulbasaur,NULL
colosseum,,2,ivysaur,NULL
colosseum,,3,venusaur,NULL
colosseum,,4,charmander,NULL
colosseum,,5,charmeleon,NULL
colosseum,,6,charizard,NULL
colosseum,,7,squirtle,NULL
colosseum,,8,wartortle,NULL
colosseum,,9,blastoise,NULL
colosseum,,10,caterpie,NULL
colosseum,,11,metapod,NULL
colosseum,,12,butterfree,NULL
colosseum,,13,weedle,NULL
colosseum,,14,kakuna,NULL
colosseum,,15,beedrill,NULL
colosseum,,16,pidgey,NULL
colosseum,,17,pidgeotto,NULL
colosseum,,18,pidgeot,NULL
colosseum,,19,rattata,NULL
colosseum,,20,raticate,NULL
colosseum,,21,spearow,NULL
colosseum,,22,fearow,NULL
colosseum,,23,ekans,NULL
colosseum,,24,arbok,NULL
colosseum,,25,pikachu,NULL
colosseum,,26,raichu,NULL
colosseum,,27,sandshrew,NULL
colosseum,,28,sandslash,NULL
colosseum,,29,nidoran-f,NULL
colosseum,,30,nidorina,NULL
colosseum,,31,nidoqueen,NULL
colosseum,,32,nidoran-m,NULL
colosseum,,33,nidorino,NULL
colosseum,,34,nidoking,NULL
colosseum,,35,clefairy,NULL
colosseum,,36,clefable,NULL
colosseum,,37,vulpix,NULL
colosseum,,38,ninetales,NULL
colosseum,,39,jigglypuff,NULL
colosseum,,40,wigglytuff,NULL
colosseum,,41,zubat,NULL
colosseum,,42,golbat,NULL
colosseum,,43,oddish,NULL
colosseum,,44,gloom,NULL
colosseum,,45,vileplume,NULL
colosseum,,46,paras,NULL
colosseum,,47,parasect,NULL
colosseum,,48,venonat,NULL
colosseum,,49,venomoth,NULL
colosseum,,50,diglett,NULL
colosseum,,51,dugtrio,NULL
colosseum,,52,meowth,NULL
colosseum,,53,persian,NULL
colosseum,,54,psyduck,NULL
colosseum,,55,golduck,NULL
colosseum,,56,mankey,NULL
colosseum,,57,primeape,NULL
colosseum,,58,growlithe,NULL
colosseum,,59,arcanine,NULL
colosseum,,60,poliwag,NULL
colosseum,,61,poliwhirl,NULL
colosseum,,62,poliwrath,NULL
colosseum,,63,abra,NULL
colosseum,,64,kadabra,NULL
colosseum,,65,alakazam,NULL
colosseum,,66,machop,NULL
colosseum,,67,machoke,NULL
colosseum,,68,machamp,NULL
colosseum,,69,bellsprout,NULL
colosseum,,70,weepinbell,NULL
colosseum,,71,victreebel,NULL
colosseum,,72,tentacool,NULL
colosseum,,73,tentacruel,NULL
colosseum,,74,geodude,NULL
colosseum,,75,graveler,NULL
colosseum,,76,golem,NULL
colosseum,,77,ponyta,NULL
colosseum,,78,rapidash,NULL
colosseum,,79,slowpoke,NULL
colosseum,,80,slowbro,NULL
colosseum,,81,magnemite,NULL
colosseum,,82,magneton,NULL
colosseum,,83,farfetchd,NULL
colosseum,,84,doduo,NULL
colosseum,,85,dodrio,NULL
colosseum,,86,seel,NULL
colosseum,,87,dewgong,NULL
colosseum,,88,grimer,NULL
colosseum,,89,muk,NULL
colosseum,,90,shellder,NULL
colosseum,,91,cloyster,NULL
colosseum,,92,gastly,NULL
colosseum,,93,haunter,NULL
colosseum,,94,gengar,NULL
colosseum,,95,onix,NULL
colosseum,,96,drowzee,NULL
colosseum,,97,hypno,NULL
colosseum,,98,krabby,NULL
colosseum,,99,kingler,NULL
colosseum,,100,voltorb,NULL
colosseum,,101,electrode,NULL
colosseum,,102,exeggcute,NULL
colosseum,,103,exeggutor,NULL
colosseum,,104,cubone,NULL
colosseum,,105,marowak,NULL
colosseum,,106,hitmonlee,NULL
colosseum,,107,hitmonchan,NULL
colosseum,,108,lickitung,NULL
colosseum,,109,koffing,NULL
colosseum,,110,weezing,NULL
colosseum,,111,rhyhorn,NULL
colosseum,,112,rhydon,NULL
colosseum,,113,chansey,NULL
colosseum,,114,tangela,NULL
colosseum,,115,kangaskhan,NULL
colosseum,,116,horsea,NULL
colosseum,,117,seadra,NULL
colosseum,,118,goldeen,NULL
colosseum,,119,seaking,NULL
colosseum,,120,staryu,NULL
colosseum,,121,starmie,NULL
colosseum,,122,mr-mime,NULL
colosseum,,123,scyther,NULL
colosseum,,124,jynx,NULL
colosseum,,125,electabuzz,NULL
colosseum,,126,magmar,NULL
colosseum,,127,pinsir,NULL
colosseum,,128,tauros,NULL
colosseum,,129,magikarp,NULL
colosseum,,130,gyarados,NULL
colosseum,,131,lapras,NULL
colosseum,,132,ditto,NULL
colosseum,,133,eevee,NULL
colosseum,,134,vaporeon,NULL
colosseum,,135,jolteon,NULL
colosseum,,136,flareon,NULL
colosseum,,137,porygon,NULL
colosseum,,138,omanyte,NULL
colosseum,,139,omastar,NULL
colosseum,,140,kabuto,NULL
colosseum,,141,kabutops,NULL
colosseum,,142,aerodactyl,NULL
colosseum,,143,snorlax,NULL
colosseum,,144,articuno,NULL
colosseum,,145,zapdos,NULL
colosseum,,146,moltres,NULL
colosseum,,147,dratini,NULL
colosseum,,148,dragonair,NULL
colosseum,,149,dragonite,NULL
colosseum,,150,mewtwo,NULL
colosseum,,151,mew,NULL
colosseum,,152,chikorita,NULL
colosseum,,153,bayleef,NULL
colosseum,,154,meganium,NULL
colosseum,,155,cyndaquil,NULL
colosseum,,156,quilava,NULL
colosseum,,157,typhlosion,NULL
colosseum,,158,totodile,NULL
colosseum,,159,croconaw,NULL
colosseum,,160,feraligatr,NULL
colosseum,,161,sentret,NULL
colosseum,,162,furret,NULL
colosseum,,163,hoothoot,NULL
colosseum,,164,noctowl,NULL
colosseum,,165,ledyba,NULL
colosseum,,166,ledian,NULL
colosseum,,167,spinarak,NULL
colosseum,,168,ariados,NULL
colosseum,,169,crobat,NULL
colosseum,,170,chinchou,NULL
colosseum,,171,lanturn,NULL
colosseum,,172,pichu,NULL
colosseum,,173,cleffa,NULL
colosseum,,174,igglybuff,NULL
colosseum,,175,togepi,NULL
colosseum,,176,togetic,NULL
colosseum,,177,natu,NULL
colosseum,,178,xatu,NULL
colosseum,,179,mareep,NULL
colosseum,,180,flaaffy,NULL
colosseum,,181,ampharos,NULL
colosseum,,182,bellossom,NULL
colosseum,,183,marill,NULL
colosseum,,184,azumarill,NULL
colosseum,,185,sudowoodo,NULL
colosseum,,186,politoed,NULL
colosseum,,187,hoppip,NULL
colosseum,,188,skiploom,NULL
colosseum,,189,jumpluff,NULL
colosseum,,190,aipom,NULL
colosseum,,191,sunkern,NULL
colosseum,,192,sunflora,NULL
colosseum,,193,yanma,NULL
colosseum,,194,wooper,NULL
colosseum,,195,quagsire,NULL
colosseum,,196,espeon,NULL
colosseum,,197,umbreon,NULL
colosseum,,198,murkrow,NULL
colosseum,,199,slowking,NULL
colosseum,,200,misdreavus,NULL
colosseum,,201,unown,a
colosseum,,201,unown,b
colosseum,,201,unown,c
colosseum,,201,unown,d
colosseum,,201,unown,e
colosseum,,201,unown,f
colosseum,,201,unown,g
colosseum,,201,unown,h
colosseum,,201,unown,i
colosseum,,201,unown,j
colosseum,,201,unown,k
colosseum,,201,unown,l
colosseum,,201,unown,m
colosseum,,201,unown,n
colosseum,,201,unown,o
colosseum,,201,unown,p
colosseum,,201,unown,q
colosseum,,201,unown,r
colosseum,,201,unown,s
colosseum,,201,unown,t
colosseum,,201,unown,u
colosseum,,201,unown,v
colosseum,,201,unown,w
colosseum,,201,unown,x
colosseum,,201,unown,y
colosseum,,201,unown,z
colosseum,,201,unown,exclamation
colosseum,,201,unown,question
colosseum,,202,wobbuffet,NULL
colosseum,,203,girafarig,NULL
colosseum,,204,pineco,NULL
colosseum,,205,forretress,NULL
colosseum,,206,dunsparce,NULL
colosseum,,207,gligar,NULL
colosseum,,208,steelix,NULL
colosseum,,209,snubbull,NULL
colosseum,,210,granbull,NULL
colosseum,,211,qwilfish,NULL
colosseum,,212,scizor,NULL
colosseum,,213,shuckle,NULL
colosseum,,214,heracross,NULL
colosseum,,215,sneasel,NULL
colosseum,,216,teddiursa,NULL
colosseum,,217,ursaring,NULL
colosseum,,218,slugma,NULL
colosseum,,219,magcargo,NULL
colosseum,,220,swinub,NULL
colosseum,,221,piloswine,NULL
colosseum,,222,corsola,NULL
colosseum,,223,remoraid,NULL
colosseum,,224,octillery,NULL
colosseum,,225,delibird,NULL
colosseum,,226,mantine,NULL
colosseum,,227,skarmory,NULL
colosseum,,228,houndour,NULL
colosseum,,229,houndoom,NULL
colosseum,,230,kingdra,NULL
colosseum,,231,phanpy,NULL
colosseum,,232,donphan,NULL
colosseum,,233,porygon2,NULL
colosseum,,234,stantler,NULL
colosseum,,235,smeargle,NULL
colosseum,,236,tyrogue,NULL
colosseum,,237,hitmontop,NULL
colosseum,,238,smoochum,NULL
colosseum,,239,elekid,NULL
colosseum,,240,magby,NULL
colosseum,,241,miltank,NULL
colosseum,,242,blissey,NULL
colosseum,,243,raikou,NULL
colosseum,,244,entei,NULL
colosseum,,245,suicune,NULL
colosseum,,246,larvitar,NULL
colosseum,,247,pupitar,NULL
colosseum,,248,tyranitar,NULL
colosseum,,249,lugia,NULL
colosseum,,250,ho-oh,NULL
colosseum,,251,celebi,NULL
colosseum,,252,treecko,NULL
colosseum,,253,grovyle,NULL
colosseum,,254,sceptile,NULL
colosseum,,255,torchic,NULL
colosseum,,256,combusken,NULL
colosseum,,257,blaziken,NULL
colosseum,,258,mudkip,NULL
colosseum,,259,marshtomp,NULL
colosseum,,260,swampert,NULL
colosseum,,261,poochyena,NULL
colosseum,,262,mightyena,NULL
colosseum,,263,zigzagoon,NULL
colosseum,,264,linoone,NULL
colosseum,,265,wurmple,NULL
colosseum,,266,silcoon,NULL
colosseum,,267,beautifly,NULL
colosseum,,268,cascoon,NULL
colosseum,,269,dustox,NULL
colosseum,,270,lotad,NULL
colosseum,,271,lombre,NULL
colosseum,,272,ludicolo,NULL
colosseum,,273,seedot,NULL
colosseum,,274,nuzleaf,NULL
colosseum,,275,shiftry,NULL
colosseum,,276,taillow,NULL
colosseum,,277,swellow,NULL
colosseum,,278,wingull,NULL
colosseum,,279,pelipper,NULL
colosseum,,280,ralts,NULL
colosseum,,281,kirlia,NULL
colosseum,,282,gardevoir,NULL
colosseum,,283,surskit,NULL
colosseum,,284,masquerain,NULL
colosseum,,285,shroomish,NULL
colosseum,,286,breloom,NULL
colosseum,,287,slakoth,NULL
colosseum,,288,vigoroth,NULL
colosseum,,289,slaking,NULL
colosseum,,290,nincada,NULL
colosseum,,291,ninjask,NULL
colosseum,,292,shedinja,NULL
colosseum,,293,whismur,NULL
colosseum,,294,loudred,NULL
colosseum,,295,exploud,NULL
colosseum,,296,makuhita,NULL
colosseum,,297,hariyama,NULL
colosseum,,298,azurill,NULL
colosseum,,299,nosepass,NULL
colosseum,,300,skitty,NULL
colosseum,,301,delcatty,NULL
colosseum,,302,sableye,NULL
colosseum,,303,mawile,NULL
colosseum,,304,aron,NULL
colosseum,,305,lairon,NULL
colosseum,,306,aggron,NULL
colosseum,,307,meditite,NULL
colosseum,,308,medicham,NULL
colosseum,,309,electrike,NULL
colosseum,,310,manectric,NULL
colosseum,,311,plusle,NULL
colosseum,,312,minun,NULL
colosseum,,313,volbeat,NULL
colosseum,,314,illumise,NULL
colosseum,,315,roselia,NULL
colosseum,,316,gulpin,NULL
colosseum,,317,swalot,NULL
colosseum,,318,carvanha,NULL
colosseum,,319,sharpedo,NULL
colosseum,,320,wailmer,NULL
colosseum,,321,wailord,NULL
colosseum,,322,numel,NULL
colosseum,,323,camerupt,NULL
colosseum,,324,torkoal,NULL
colosseum,,325,spoink,NULL
colosseum,,326,grumpig,NULL
colosseum,,327,spinda,NULL
colosseum,,328,trapinch,NULL
colosseum,,329,vibrava,NULL
colosseum,,330,flygon,NULL
colosseum,,331,cacnea,NULL
colosseum,,332,cacturne,NULL
colosseum,,333,swablu,NULL
colosseum,,334,altaria,NULL
colosseum,,335,zangoose,NULL
colosseum,,336,seviper,NULL
colosseum,,337,lunatone,NULL
colosseum,,338,solrock,NULL
colosseum,,339,barboach,NULL
colosseum,,340,whiscash,NULL
colosseum,,341,corphish,NULL
colosseum,,342,crawdaunt,NULL
colosseum,,343,baltoy,NULL
colosseum,,344,claydol,NULL
colosseum,,345,lileep,NULL
colosseum,,346,cradily,NULL
colosseum,,347,anorith,NULL
colosseum,,348,armaldo,NULL
colosseum,,349,feebas,NULL
